date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:00:39	30974/30974	---MCZ	200	added ('OK')	text/html	etag:W/%2278fe-KdseyuJQ2cd+lVEg5WSWZUWF9TM%22	https://writter.electronthemes-ghost.com/typography/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/typography/index.html	(from https://writter.electronthemes-ghost.com/)
18:00:39	22442/22442	---MCZ	200	added ('OK')	text/html	etag:W/%2257aa-6f/5w8FjzkUFpatAG2cziQeHH08%22	https://writter.electronthemes-ghost.com/gallery/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/gallery/index.html	(from https://writter.electronthemes-ghost.com/)
18:00:40	26076/26076	---MCZ	200	added ('OK')	text/html	etag:W/%2265dc-xk48vn5feHYlTS+JDuAgBD+fEvM%22	https://writter.electronthemes-ghost.com/themes/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/themes/index.html	(from https://writter.electronthemes-ghost.com/)
18:00:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Aug%202021%2012:00:41%20GMT	https://writter.electronthemes-ghost.com/contact	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/contact	(from https://writter.electronthemes-ghost.com/)
18:00:40	24707/24707	---MCZ	200	added ('OK')	text/html	etag:W/%226083-H2pIufDiwQsS4Vyv4mavqbuDQkI%22	https://writter.electronthemes-ghost.com/ohlen-member-new-passion-4/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/ohlen-member-new-passion-4/index.html	(from https://writter.electronthemes-ghost.com/)
18:00:41	19631/19631	---MCZ	200	added ('OK')	text/html	etag:W/%224caf-5uHNwsK2dqqfIoD8EGBR4/hJKMU%22	https://writter.electronthemes-ghost.com/portfolios/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/portfolios/index.html	(from https://writter.electronthemes-ghost.com/)
18:00:41	116012/116012	---M--	200	added ('OK')	image/jpeg	etag:W/%221c52c-1792df200f3%22	https://writter.electronthemes-ghost.com/content/images/2018/09/08-1060x707.jpg	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/content/images/2018/09/08-1060x707.jpg	(from https://writter.electronthemes-ghost.com/)
18:00:42	18504/18504	---MCZ	200	added ('OK')	text/html	etag:W/%224848-tD0DXRfE1tAXp7smQdrCOcTotyc%22	https://writter.electronthemes-ghost.com/contact/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/contact/index.html	(from https://writter.electronthemes-ghost.com/)
18:00:42	13243/13243	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2233bb-lXMUfzKHj/mJhExPYESvg9AKO7Y%22	https://writter.electronthemes-ghost.com/signin/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/signin/index.html	(from https://writter.electronthemes-ghost.com/)
18:00:42	13255/13255	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2233c7-yhpvVG19AnxNv7LJlCN831qt5RY%22	https://writter.electronthemes-ghost.com/404/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/404/index.html	(from https://writter.electronthemes-ghost.com/)
